Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_modification
2001-12-14,-50.451863122268215,-50.59008900960143,-48.46143341064453,-48.46143341064453,48358107,0.0,0.0,2024-04-05 12:14:16
2001-12-17,-48.87610133212766,-49.48428726196289,-48.516715288365674,-49.48428726196289,5616579,0.0,0.0,2024-04-05 12:14:16
2001-12-18,-49.18020710732332,-49.456655889604335,-48.54437521157668,-48.93140411376953,4075931,0.0,0.0,2024-04-05 12:14:16
2001-12-19,-48.46143888875485,-48.93140210281805,-48.37850456097864,-48.765533447265625,5425251,0.0,0.0,2024-04-05 12:14:16
2001-12-20,-48.46143341064453,-48.7378821503143,-48.40614184171259,-48.46143341064453,3172676,0.0,0.0,2024-04-05 12:14:16
2001-12-21,-48.40614157718105,-49.62251663208008,-48.40614157718105,-49.62251663208008,3272207,0.0,0.0,2024-04-05 12:14:16
2001-12-24,-49.511934475678025,-49.62251457335324,-48.82081417645181,-49.20783996582031,350253,0.0,0.0,2024-04-05 12:14:16
2001-12-25,-49.20783996582031,-49.20783996582031,-49.20783996582031,-49.20783996582031,0,0.0,0.0,2024-04-05 12:14:16
2001-12-26,-49.20783996582031,-49.20783996582031,-49.20783996582031,-49.20783996582031,0,0.0,0.0,2024-04-05 12:14:16
2001-12-27,-49.06962203979492,-49.06962203979492,-48.82081605171962,-49.06962203979492,997724,0.0,0.0,2024-04-05 12:14:16
2001-12-28,-48.79316604896652,-49.18019485473633,-48.489071553719334,-49.18019485473633,735532,0.0,0.0,2024-04-05 12:14:16
2001-12-31,-49.18019485473633,-49.18019485473633,-49.18019485473633,-49.18019485473633,0,0.0,0.0,2024-04-05 12:14:16
2002-01-01,-49.18019485473633,-49.18019485473633,-49.18019485473633,-49.18019485473633,0,0.0,0.0,2024-04-05 12:14:16
2002-01-02,-49.15256131859608,-49.456655889604335,-48.737889662673105,-48.93140411376953,802063,0.0,0.0,2024-04-05 12:14:16
2002-01-03,-49.06961956860483,-49.18019662996218,-48.82081359305962,-49.01432800292969,831538,0.0,0.0,2024-04-05 12:14:16
2002-01-04,-48.93139715808836,-49.04197726228104,-48.79317126909834,-48.903751373291016,2843069,0.0,0.0,2024-04-05 12:14:16
2002-01-07,-49.01433251992966,-50.31364194308509,-48.93139819877046,-50.25835037231445,2265789,0.0,0.0,2024-04-05 12:14:16
2002-01-08,-50.037168884140065,-51.391766267114036,-49.98188037187406,-51.14296340942383,4160966,0.0,0.0,2024-04-05 12:14:16
2002-01-09,-51.11532067078855,-51.28118924258202,-50.75593471857542,-51.14296340942383,2215028,0.0,0.0,2024-04-05 12:14:16
2002-01-10,-51.0047600985162,-51.1153371587163,-49.92660492909906,-50.313636779785156,1794551,0.0,0.0,2024-04-05 12:14:16
2002-01-11,-50.34128121847616,-50.83888711108225,-49.76074101043572,-50.368927001953125,1279755,0.0,0.0,2024-04-05 12:14:16
2002-01-14,-50.28600178456252,-50.28600178456252,-49.51194398713273,-50.09248733520508,912159,0.0,0.0,2024-04-05 12:14:16
2002-01-15,-49.87130887358462,-51.0047492980957,-49.87130887358462,-51.0047492980957,1254883,0.0,0.0,2024-04-05 12:14:16
2002-01-16,-50.59008947952658,-50.86653518676758,-50.03718896005457,-50.86653518676758,2321553,0.0,0.0,2024-04-05 12:14:16
2002-01-17,-50.59009291465002,-52.02762222290039,-50.479512803247104,-52.02762222290039,3806425,0.0,0.0,2024-04-05 12:14:16
2002-01-18,-51.419429779052734,-51.91703563672284,-51.28120390636904,-51.419429779052734,1719868,0.0,0.0,2024-04-05 12:14:16
2002-01-21,-51.36412922014083,-51.3917719618392,-50.313626125712226,-51.0047492980957,1277860,0.0,0.0,2024-04-05 12:14:16
2002-01-22,-50.977114722468784,-51.44707788253426,-50.59008891564719,-50.92182922363281,1931163,0.0,0.0,2024-04-05 12:14:16
2002-01-23,-50.94945767619393,-51.80644943759836,-50.72829449793384,-51.44706344604492,2081677,0.0,0.0,2024-04-05 12:14:16
2002-01-24,-51.28120028923447,-52.497572101072905,-51.17061717089047,-52.193477630615234,3979881,0.0,0.0,2024-04-05 12:14:16
2002-01-25,-51.69587108990807,-52.276411208176675,-51.419425437872775,-51.97231674194336,1246264,0.0,0.0,2024-04-05 12:14:16
2002-01-28,-51.97232626165164,-52.08290939871485,-51.447077605577775,-51.8341064453125,1294655,0.0,0.0,2024-04-05 12:14:16
2002-01-29,-51.72351990410609,-52.24876846397079,-51.72351990410609,-51.97231674194336,1322253,0.0,0.0,2024-04-05 12:14:16
2002-01-30,-51.502364088664415,-51.99996994633452,-51.39178096252041,-51.419429779052734,865335,0.0,0.0,2024-04-05 12:14:16
2002-01-31,-51.5852983982761,-51.778809764039146,-51.419429779052734,-51.419429779052734,1077792,0.0,0.0,2024-04-05 12:14:16
2002-02-01,-51.447071815783204,-51.69587474118555,-50.949465964978515,-51.19826889038086,616291,0.0,0.0,2024-04-05 12:14:16
2002-02-04,-50.86653443629737,-51.087697675819875,-49.069622190758665,-49.62251663208008,1072012,0.0,0.0,2024-04-05 12:14:16
2002-02-05,-49.48428586417177,-49.8989604225704,-49.34605999970684,-49.76073455810547,1033362,0.0,0.0,2024-04-05 12:14:16
2002-02-06,-49.48428726196289,-49.70544743735546,-48.59964959538883,-49.48428726196289,2063573,0.0,0.0,2024-04-05 12:14:16
2002-02-07,-48.79317820513047,-49.484301678331576,-48.79317820513047,-48.93140411376953,515868,0.0,0.0,2024-04-05 12:14:16
2002-02-08,-49.207842585859304,-51.00476395751356,-48.98668844872668,-50.06483459472656,715600,0.0,0.0,2024-04-05 12:14:16
2002-02-11,-49.84366471928346,-51.4194224472125,-49.84366471928346,-51.28119659423828,569292,0.0,0.0,2024-04-05 12:14:16
